iteration;acq_value;iteration_duration
0;8,292107223;7,155781031
1;6,220760604;7,716801643
2;5,116198565;8,453478813
3;3,417585105;8,262296915
4;2,358163291;10,54812646
5;1,941730301;17,79669499
6;2,090252529;19,01040316
7;3,741221167;19,50869179
8;3,683951556;11,78162408
9;2,510465383;15,09558606
10;1,77048125;16,98014355
11;1,429111195;20,78008318
12;0,897154079;22,59283519
13;0,690499483;15,25030279
14;1,259481286;23,14936996
15;0,932661599;21,50626945
16;0,634040677;35,93069172
17;0,570405571;22,38973475
18;0,321016762;25,1166203
19;0,345215458;37,60260773
20;0,161984574;30,93927979
21;0,173793276;27,91081786
22;0,377288353;26,18454623
23;0,545363748;22,09377551
24;0,552221944;23,12209558
25;0,354485737;55,11360192
26;0,404904536;37,8646903
27;0,682893426;33,09935093
28;0,443519529;43,20782828
29;0,248519677;57,45369053
30;0,261365128;59,04515052
31;2,955652716;34,03112125
32;1,905044748;35,97129965
33;0,7906215;28,93682718
34;0,67272921;29,72982979
35;1,371225587;57,34069443
36;0,701968946;44,4124155
37;0,645198483;58,81012702
38;0,42348451;43,28485703
39;0,293693322;58,51709914
40;0,237234939;37,1578958
41;0,197808278;33,23875141
42;0,773013578;43,03164291
43;0,58014582;51,63485742
44;0,402815399;56,86244869
45;0,247224938;101,6895473
46;0,153032397;72,34036255
47;0,170938063;66,43469357
48;0,242440319;78,07071376
49;0,067802712;62,15613532
